# omega_b	omega_cdm	H0	ln10^{10}A_s	n_s	tau_reio	m_ncdm_lightest	log10Gamma_nu
0.023067100826651057	0.11629930133525594	70.15875143683806	3.1661295752305074	0.9786506020039683	0.11984140263625048	0.016398280271393586	2.60207458660717
0.022496143858225747	0.11853379255084155	67.42217083641945	3.1150920952394614	0.9692320722420638	0.09273426013785038	0.01350239805110531	2.699057067833195
0.022553823632424988	0.11606541158273805	69.11926248392061	3.1037209470248768	0.9678807850445665	0.08629295098943182	0.12525811406305987	5.338896338757171
0.02191647940006416	0.12054437874243872	67.69988403696962	3.020076862008829	0.948411479747519	0.03589085989325339	0.05056352504173827	3.5744057039235373
0.02345240734896563	0.11734848029391366	69.24283743806261	3.0977464735929456	0.9707223879823135	0.09058546452534502	0.051403711561601534	4.049312784389629
0.022723041926914718	0.11728721432343629	69.61355539737568	3.062767715013132	0.9609490133402182	0.07264049515044708	0.03460910619047811	2.650922778306921
0.022964968692631163	0.11733339328994451	70.23641777565417	3.101664211274439	0.9742664359996086	0.07714077257382504	0.04685391922612362	4.212864287072488
0.02302121680874552	0.11911732559627358	69.59076161603647	3.03232357986864	0.9694780951748296	0.05080838826927895	0.014382860322291736	5.1769670233460126
0.02254258756327699	0.11683839129569656	69.17501597037432	3.0540818161554997	0.9674089851920492	0.07304331687907306	0.08230757185172592	3.768124458904757
0.021945458825756492	0.1162520776614403	67.83064286011746	3.109732625020158	0.9781350328773067	0.10712605327193943	0.02609533449367159	3.094338380167672
0.022887865375142338	0.11766663433422034	69.2586577218063	3.0492377620439926	0.9849494596867316	0.04343335369229964	0.07380918628501931	2.5051747964808246
0.022491918449305433	0.11584044805110362	69.70657119851245	3.1208627841687515	0.999286610785348	0.10017367845654594	0.005010700922094436	2.8361484290501506
0.022499731337358567	0.11416618288196345	69.2355118060614	3.028252260119466	0.9810747638658327	0.045944818526050785	0.07698826802256416	4.361272445880151
0.022624979127030844	0.11843443574387598	68.11491988106718	3.0386431424780023	0.9887344473125182	0.047380369995016845	0.057478754015897714	4.5723704196662505
0.022376950107070852	0.12184875184259952	67.70979132986332	3.105045071553719	0.9625669455997946	0.06987141312914041	0.035664215979344584	3.2666713815865043
0.022690918395756095	0.12251665044764597	67.31889578591452	3.052969064003202	0.9628131413897102	0.055508057299586945	0.011352013301741015	3.6957675999144746
0.021960591647570075	0.11739519057280395	68.38760839805967	3.0314055733688283	0.9705237950465375	0.048818528268011585	0.11744134621119783	2.5198251625987362
